,code,站名,地址
117,4180,南科,臺南市新市區大營里大營 287-300 號
118,4190,新市,臺南市新市區新和里中華路 1 號
119,4200,永康,臺南市永康區埔園里中山路 459 號
120,4210,大橋,臺南市永康區西橋里中華路 835 號
121,4220,臺南,臺南市東區成大里北門路二段4號
122,4250,保安,臺南市仁德區保安里文賢路一段 529 巷 10 號
123,4260,仁德,臺南市仁德區保安里永德路 10 號
124,4270,中洲,臺南市仁德區中洲五街236號
125,4271,長榮大學,臺南市歸仁區大潭里長大路15 號
126,4272,沙崙,臺南市歸仁區沙崙里歸仁大道 102 號
127,4290,大湖,高雄市路竹區甲南里天祐路 24 號
128,4300,路竹,高雄市路竹區竹南里中正路 288 號
129,4310,岡山,高雄市岡山區碧紅里岡燕路 111 號
130,4320,橋頭,高雄市橋頭區橋頭里站前街 14 號
131,4330,楠梓,高雄市楠梓區惠楠里建楠路 229 號
132,4340,新左營,高雄市左營區尾北里站前北路 1 號
133,4350,左營,高雄市左營區翠華路1050號地下1層
134,4360,內惟,高雄市鼓山區翠華路500號地下1層
135,4370,美術館,高雄市鼓山區翠華路246號
136,4380,鼓山,高雄市鼓山區鐵路街20巷6號
137,4390,三塊厝,高雄市三民區德北里6鄰康平街1號
138,4400,高雄,高雄市三民區港西里建國二路 318 號
139,4410,民族,高雄市三民區博惠里14鄰凱旋一路260號
140,4420,科工館,高雄市三民區寶盛里15鄰大順三路307號
141,4430,正義,高雄市苓雅區建軍里正義路 308 號 B1
142,4440,鳳山,高雄市鳳山區曹公里曹公路 137 號
143,4450,後庄,高雄市大寮區後庄里民慶街 9 號
144,4460,九曲堂,高雄市大樹區久堂里久堂路鐵路巷 15 號
145,4470,六塊厝,屏東縣屏東市長安里光復路 392 號
146,5000,屏東,屏東縣屏東市擇仁里公勇路 62 號
147,5010,歸來,屏東縣屏東市歸來里歸仁路 5 之 4 號
148,5020,麟洛,屏東縣麟洛鄉田道村中華路站前巷 15 號
149,5030,西勢,屏東縣竹田鄉西勢村西豐路 2 號
150,5040,竹田,屏東縣竹田鄉履豐村豐明路29 號
151,5050,潮州,屏東縣潮州鎮新榮里信義路 111 號
152,5060,崁頂,屏東縣崁頂鄉崁頂村中正路 122 號
153,5070,南州,屏東縣南州鄉仁里村仁里路 86 號
154,5080,鎮安,屏東縣林邊鄉鎮安村永和路 4 號
155,5090,林邊,屏東縣林邊鄉仁和村仁愛路 33 號
156,5100,佳冬,屏東縣佳冬鄉六根村復興路21號
157,5110,東海,屏東縣枋寮鄉東海村西安路 92 號
158,5120,枋寮,屏東縣枋寮鄉枋寮村儲運路 18 號
159,5130,加祿,屏東縣枋山鄉加祿村會社 53 號
160,5140,內獅,屏東縣枋山鄉加祿村南和 43 號
161,5160,枋山,屏東縣獅子鄉內獅村內獅巷 84 號
162,5170,枋野,屏東縣獅子鄉內獅村內獅巷 88 號
163,5190,大武,臺東縣大武鄉大鳥村和平部落 33 號
164,5200,瀧溪,臺東縣太麻里鄉多良村大溪 37 號
165,5210,金崙,臺東縣太麻里鄉金崙村金崙 47 之 17 號
166,5220,太麻里,臺東縣太麻里鄉大王村站前路 2 號
167,5230,知本,臺東縣臺東市知本里知本路二段 900 巷 85 號
168,5240,康樂,臺東縣臺東市康樂里博物館路 51 巷 131 號
169,5998,南方小站,屏東縣潮州鎮光復路 461 號
170,5999,潮州基地,屏東縣潮州鎮光春里光復路 616 號
171,6000,臺東,臺東縣臺東市岩灣里岩灣路 101 巷 598 號
172,6010,山里,臺東縣卑南鄉嘉豐村山里路 108 號
173,6020,鹿野,臺東縣鹿野鄉鹿野村中正路 38 號
174,6030,瑞源,臺東縣鹿野鄉瑞源村瑞景路一段 336 巷 8 號 之 1
175,6040,瑞和,臺東縣鹿野鄉瑞和村瑞景路三段 1 之 1 號
176,6050,關山,臺東縣關山鎮里壠里博愛路 2 號
177,6060,海端,臺東縣關山鎮德高里西莊 49 號
178,6070,池上,臺東縣池上鄉福文村鐵花路 30 號
179,6080,富里,花蓮縣富里鄉富里村車站街 56 號
180,6090,東竹,花蓮縣富里鄉新興村新興 26 號
181,6100,東里,花蓮縣富里鄉東里村大莊路 15 之 6 號
182,6110,玉里,花蓮縣玉里鎮中城里康樂街 39 號
183,6120,三民,花蓮縣玉里鎮三民里三民 10 號
184,6130,瑞穗,花蓮縣瑞穗鄉瑞穗村四維街 13 號
185,6140,富源,花蓮縣瑞穗鄉富源村富源路 2 號
186,6150,大富,花蓮縣光復鄉大富村明德路 1 號
187,6160,光復,花蓮縣光復鄉大安村中正路一段 2 之 1 號
188,6170,萬榮,花蓮縣鳳林鎮長橋里長德街 17 號
189,6180,鳳林,花蓮縣鳳林鎮鳳智里中山路 43 號
190,6190,南平,花蓮縣鳳林鎮南平里自強路 233 號
191,6200,林榮新光,花蓮縣鳳林鎮兆豐路800號
192,6210,豐田,花蓮縣壽豐鄉豐山村站前街 36 號
193,6220,壽豐,花蓮縣壽豐鄉壽豐村壽山路 1 號
194,6230,平和,花蓮縣壽豐鄉平和村平和路 1 號
195,6240,志學,花蓮縣壽豐鄉志學村中正路 1 號
196,6250,吉安,花蓮縣吉安鄉南昌村南昌路1號
197,7000,花蓮,花蓮縣花蓮市國聯里國聯一路 100 號
198,7010,北埔,花蓮縣新城鄉北埔村自強街 113 號
199,7020,景美,花蓮縣秀林鄉景美村加灣 178 之 1 號
200,7030,新城,花蓮縣新城鄉新城村新興一路 73 號
201,7040,崇德,花蓮縣秀林鄉崇德村海濱路 96 號
202,7050,和仁,花蓮縣秀林鄉和平村和仁 71 號
203,7060,和平,花蓮縣秀林鄉和平村和平 276 號
204,7070,漢本,宜蘭縣南澳鄉澳花村蘇花路一段 56 號
205,7080,武塔,宜蘭縣南澳鄉武塔村新溪路 18 號
206,7090,南澳,宜蘭縣蘇澳鎮南強里大通路 22 號
207,7100,東澳,宜蘭縣南澳鄉東岳村東岳路 1 號
208,7110,永樂,宜蘭縣蘇澳鎮永樂里圳頭路 60 號
209,7120,蘇澳,宜蘭縣蘇澳鎮蘇南里太平路 1 號
210,7130,蘇澳新,宜蘭縣蘇澳鎮聖愛里中山路二段 238 號
211,7140,新馬,宜蘭縣蘇澳鎮新城里中山路二段 322 號
212,7150,冬山,宜蘭縣冬山鄉冬山村中正路 1 號
213,7160,羅東,宜蘭縣羅東鎮大新里公正路 2 號
214,7170,中里,宜蘭縣五結鄉中興村台興路 10 號
215,7180,二結,宜蘭縣五結鄉五結中路三段658巷8號
216,7190,宜蘭,宜蘭縣宜蘭市和睦里光復路 1 號
217,7200,四城,宜蘭縣礁溪鄉吳沙村站前路 24 號
218,7210,礁溪,宜蘭縣礁溪鄉德陽村溫泉路 1 號
219,7220,頂埔,宜蘭縣頭城鎮下埔里下埔路 4 之 8 號
220,7230,頭城,宜蘭縣頭城鎮纘祥路 59 號
221,7240,外澳,宜蘭縣頭城鎮濱海路二段 217 號
222,7250,龜山,宜蘭縣頭城鎮更新里濱海路三段 261 號
223,7260,大溪,宜蘭縣頭城鎮濱海路五段 63 號
224,7270,大里,宜蘭縣頭城鎮大里里濱海路六段 326 號
225,7280,石城,宜蘭縣頭城鎮濱海路七段 230 號
226,7290,福隆,新北市貢寮區福隆里福隆街 2 號
227,7300,貢寮,新北市貢寮區貢寮里朝陽街 33 號
228,7310,雙溪,新北市雙溪區新基里朝陽街 1 號
229,7320,牡丹,新北市雙溪區牡丹里51號
230,7330,三貂嶺,新北市瑞芳區碩仁里魚寮路 1 號
231,7331,大華,新北市平溪區南山里六分 12 之 1 號
232,7332,十分,新北市平溪區十分里十分街 51 號
233,7333,望古,新北市平溪區望古里 (無站房)
234,7334,嶺腳,新北市平溪區嶺腳里嶺腳寮 22 號
235,7335,平溪,新北市平溪區平溪里中華街 12 號
236,7336,菁桐,新北市平溪區菁桐里菁桐街 52 號
237,7350,猴硐,新北市瑞芳區光復里柴寮路 70 號
238,7360,瑞芳,新北市瑞芳區龍潭里明燈路三段 82 號
239,7361,海科館,基隆市中正區長潭里
240,7362,八斗子,新北市瑞芳區建基路2段121號隔壁 砂子里省道臺 2 線 (與新北市瑞芳區交界處、無站房)
241,7380,四腳亭,新北市瑞芳區吉慶里中央路 65 號
242,7390,暖暖,基隆市暖暖區暖暖里暖暖街 51 號
